symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,holding_hours,dca_layers,reason,session
BTCUSD,BUY,2024-03-13 19:00:00+00:00,2024-03-13 20:00:00+00:00,73127.74,73491.13178571429,3.5600839392856627,1.0,0,TRAILING_BE_EXIT,
XAUUSD,BUY,2024-03-13 20:00:00+00:00,2024-03-14 01:30:00+00:00,2172.546,2174.765214285714,1.9375566428571724,5.5,0,TRAILING_BE_EXIT,
US100,SELL,2024-03-13 21:00:00+00:00,2024-03-14 09:00:00+00:00,18114.59,18176.43,-6.888602785714301,12.0,0,12H_ML_CUT,
XAUUSD,SELL,2024-03-14 02:00:00+00:00,2024-03-14 09:45:00+00:00,2174.737,2170.484571428571,3.973596607143222,7.75,0,TRAILING_BE_EXIT,
EURUSD,SELL,2024-03-14 10:00:00+00:00,2024-03-14 12:45:00+00:00,1.09408,1.0931414285714287,7.1857019285694745,2.75,0,TRAILING_BE_EXIT,
USDCAD,BUY,2024-03-14 09:00:00+00:00,2024-03-14 16:00:00+00:00,1.34706,1.3519437142857142,34.31412010390148,7.0,0,TRAILING_BE_EXIT,
GBPUSD,SELL,2024-03-14 13:00:00+00:00,2024-03-14 16:15:00+00:00,1.27946,1.2748448571428572,26.370838894285473,3.25,0,TRAILING_BE_EXIT,
USDCHF,BUY,2024-03-14 16:00:00+00:00,2024-03-14 20:00:00+00:00,0.88333,0.8838575,1.7855133038980497,4.0,0,TRAILING_BE_EXIT,
XAUUSD,SELL,2024-03-14 17:00:00+00:00,2024-03-15 05:00:00+00:00,2158.735,2164.443,-5.988149178571512,12.0,0,12H_ML_CUT,
EURUSD,SELL,2024-03-14 20:00:00+00:00,2024-03-15 07:00:00+00:00,1.08904,1.0879045714285713,5.49256468285777,11.0,0,TRAILING_BE_EXIT,
US30,BUY,2024-03-15 07:00:00+00:00,2024-03-15 08:00:00+00:00,38902.3,38928.91785714286,1.9544621428567894,1.0,0,TRAILING_BE_EXIT,
US30,BUY,2024-03-15 08:00:00+00:00,2024-03-15 13:15:00+00:00,38908.8,38977.23428571429,6.138006428571233,5.25,0,TRAILING_BE_EXIT,
BTCUSD,BUY,2024-03-15 05:00:00+00:00,2024-03-15 14:15:00+00:00,67375.38,68149.70607142858,7.66531745357143,9.25,0,TRAILING_BE_EXIT,
US30,SELL,2024-03-15 15:00:00+00:00,2024-03-15 18:00:00+00:00,38876.4,38742.637142857144,12.66627428571434,3.0,0,TRAILING_BE_EXIT,
USDCHF,SELL,2024-03-15 14:00:00+00:00,2024-03-17 21:15:00+00:00,0.88279,0.88238,11.55425209093459,55.25,1,12H_ML_CUT,
NZDUSD,SELL,2024-03-15 18:00:00+00:00,2024-03-17 21:15:00+00:00,0.6081,0.6077103571428571,-0.24286961142883223,51.25,0,TRAILING_BE_EXIT,
US500,SELL,2024-03-18 00:00:00+00:00,2024-03-18 11:30:00+00:00,5127.61,5155.39,-5.43518100000011,11.5,1,SOFT_ATR_STOP,
US30,BUY,2024-03-18 01:00:00+00:00,2024-03-18 13:00:00+00:00,38743.0,38833.0,0.8294213571428573,12.0,0,12H_ML_CUT,
XAUUSD,BUY,2024-03-18 14:00:00+00:00,2024-03-19 02:00:00+00:00,2156.715,2160.461,3.4660652142853543,12.0,0,12H_ML_CUT,
US100,BUY,2024-03-18 16:00:00+00:00,2024-03-19 04:00:00+00:00,18068.04,17955.92,-10.313940000000525,12.0,1,12H_ML_CUT,
US500,BUY,2024-03-19 02:00:00+00:00,2024-03-19 09:30:00+00:00,5148.19,5152.174285714285,-0.3043682857142811,7.5,0,TRAILING_BE_EXIT,
